Time(s),Current Torque Experienced,Torque Slider Adjusted,VAS Value of Torque Slider,Confirm Button Pressed
14.791603803634644,,{'E'},5.729955695297981,False
15.108822584152222,,{'E'},5.941296269829923,False
15.11568570137024,,{'E'},6.152636844361858,False
15.128723859786987,,{'E'},6.3639774188938105,False
15.141971826553345,,{'E'},6.575317993425756,False
15.155183792114258,,{'E'},6.786658567957691,False
15.16848373413086,,{'E'},7.209339717021578,False
15.181683778762817,,{'E'},7.420680291553516,False
15.194936752319336,,{'E'},7.632020866085451,False
15.208086729049683,,{'E'},8.05470201514935,False
15.233435869216919,,{'E'},8.47738316421323,False
15.259026765823364,,{'E'},8.90006431327711,False
15.272473812103271,,{'E'},9.111404887809051,False
15.28531789779663,,{'E'},9.322745462341008,False
15.298491716384888,,{'E'},9.74542661140488,False
15.311750888824463,,{'E'},9.956767185936823,False
15.324907779693604,,{'E'},10.379448335000706,False
15.338201761245728,,{'E'},10.8021294840646,False
15.351332664489746,,{'E'},11.224810633128477,False
15.364702939987183,,{'E'},11.43615120766042,False
15.377894878387451,,{'E'},11.8588323567243,False
15.391111850738525,,{'E'},12.070172931256245,False
15.404286861419678,,{'E'},12.492854080320129,False
15.417496681213379,,{'E'},12.70419465485207,False
15.430972814559937,,{'E'},12.915535229384012,False
15.444486856460571,,{'E'},13.126875803915954,False
15.470764636993408,,{'E'},13.338216378447896,False
15.510477781295776,,{'E'},13.549556952979838,False
38.2749388217926,,{'E'},13.549556952979838,True
71.61170792579651,,{'E'},13.972238102043725,False
71.7930428981781,,{'E'},14.183578676575667,False
71.80633282661438,,{'E'},14.817600400171493,False
71.819504737854,,{'E'},15.028940974703435,False
71.832674741745,,{'E'},15.662962698299264,False
71.84608173370361,,{'E'},16.50832499642703,False
71.8592278957367,,{'E'},17.142346720022857,False
71.87239384651184,,{'E'},17.987709018150625,False
71.88568663597107,,{'E'},18.19904959268257,False
71.89884781837463,,{'E'},19.46709303987422,False
71.91224074363708,,{'E'},20.31245533800199,False
71.92528986930847,,{'E'},20.73513648706588,False
71.93862986564636,,{'E'},21.791839359725586,False
71.95203995704651,,{'E'},22.425861083321415,False
71.96509170532227,,{'E'},22.8485422323853,False
71.97751975059509,,{'E'},23.271223381449182,False
71.99090099334717,,{'E'},23.693904530513066,False
72.00400590896606,,{'E'},24.116585679576957,False
72.01719665527344,,{'E'},24.327926254108895,False
72.03054070472717,,{'E'},24.53926682864084,False
72.04360675811768,,{'E'},24.961947977704718,False
72.05718278884888,,{'E'},25.3846291267686,False
72.0702748298645,,{'E'},25.595969701300547,False
72.08340191841125,,{'E'},26.229991424896376,False
