t,enjoyment,rpe
t,enjoyment,rpe
t,enjoyment,rpe
t,enjoyment,rpe
t,enjoyment,rpe
t,enjoyment,rpe
t,enjoyment,rpe
2.0,0.0,0.0
4.0,0.0,0.0
2.0,2.0,16.0
2.0,1.0,16.0
4.0,1.0,14.0
6.0,1.0,14.0
2.0,1.0,17.0
t,enjoyment,rpe
2.0,0.0,15.0
4.0,0.0,15.0
6.0,0.0,15.0
8.0,0.0,15.0
10.0,1.0,15.0
12.0,1.0,15.0
14.0,1.0,15.0
16.0,1.0,14.0
18.0,1.0,15.0
20.0,1.0,15.0
22.0,1.0,15.0
24.0,1.0,15.0
26.0,1.0,15.0
28.0,1.0,15.0
2.0,1.0,16.0
4.0,1.0,16.0
6.0,1.0,16.0
8.0,1.0,16.0
10.0,0.0,14.0
12.0,0.0,14.0
2.0,1.0,16.0
4.0,1.0,16.0
6.0,1.0,16.0
2.0,1.0,15.0
4.0,1.0,15.0
6.0,1.0,15.0
8.0,1.0,15.0
10.0,0.0,14.0
2.0,1.0,15.0
4.0,1.0,15.0
6.0,1.0,15.0
8.0,1.0,15.0
10.0,1.0,15.0
12.0,1.0,15.0
2.0,0.0,0.0
4.0,0.0,0.0
6.0,0.0,0.0
8.0,0.0,0.0
10.0,0.0,0.0
12.0,0.0,0.0
14.0,0.0,0.0
16.0,0.0,0.0
