2.0,1.0,14.0
2.0,1.0,15.0
2.0,1.0,14.0
4.0,0.0,13.0
2.0,0.0,0.0
4.0,0.0,0.0
6.0,0.0,0.0
2.0,1.0,16.0
4.0,1.0,12.0
2.0,2.0,8.0
4.0,2.0,8.0
6.0,0.0,11.0
8.0,0.0,11.0
10.0,1.0,15.0
12.0,1.0,15.0
14.0,1.0,15.0
16.0,1.0,15.0
18.0,1.0,15.0
20.0,1.0,15.0
22.0,1.0,15.0
24.0,1.0,15.0
26.0,1.0,15.0
28.0,1.0,15.0
30.0,1.0,10.0
32.0,1.0,10.0
34.0,1.0,10.0
36.0,1.0,16.0
38.0,1.0,11.0
40.0,1.0,11.0
42.0,-1.0,10.0
44.0,-1.0,10.0
46.0,-1.0,16.0
48.0,-1.0,16.0
50.0,-1.0,16.0
52.0,1.0,9.0
54.0,1.0,9.0
56.0,1.0,9.0
58.0,1.0,9.0
60.0,1.0,9.0
62.0,1.0,9.0
64.0,0.0,10.0
66.0,2.0,10.0
68.0,0.0,11.0
2.0,0.0,12.0
4.0,0.0,12.0
6.0,0.0,12.0
8.0,0.0,12.0
10.0,-1.0,11.0
