t,subject_bid,user_win_flag,current_payout,total_winnings
2.0,3.0,False,0.4300000071525574,0.0
4.0,0.4000000059604645,True,0.4300000071525574,0.4300000071525574
6.0,0.4000000059604645,True,0.4300000071525574,0.8600000143051147
8.0,0.5,False,0.5,0.8600000143051147
10.0,0.4399999976158142,True,0.5,1.3600000143051147
12.0,0.44999998807907104,True,0.47999998927116394,1.840000033378601
14.0,0.5199999809265137,False,0.5199999809265137,1.840000033378601
16.0,0.5,True,0.699999988079071,2.5399999618530273
18.0,0.6499999761581421,True,0.699999988079071,3.240000009536743
20.0,0.6700000166893005,True,0.699999988079071,3.940000057220459
22.0,0.6899999976158142,True,0.699999988079071,4.639999866485596
24.0,0.7099999785423279,False,0.7099999785423279,4.639999866485596
26.0,0.7099999785423279,True,0.9900000095367432,5.630000114440918
28.0,0.9900000095367432,False,0.9900000095367432,5.630000114440918
30.0,0.9900000095367432,True,1.7400000095367432,7.369999885559082
32.0,0.9900000095367432,True,1.7000000476837158,9.069999694824219
34.0,0.9900000095367432,True,1.7400000095367432,10.8100004196167
36.0,0.9900000095367432,True,1.7300000190734863,12.539999961853027
38.0,0.9900000095367432,True,1.75,14.289999961853027
40.0,0.9900000095367432,True,1.7400000095367432,16.030000686645508
