t,subject_bid,user_win_flag,current_payout,total_winnings
2.0,0.9900000095367432,False,0.4699999988079071,0.0
4.0,0.4000000059604645,True,0.46000000834465027,0.46000000834465027
6.0,0.4000000059604645,True,0.46000000834465027,0.9200000166893005
8.0,0.44999998807907104,True,0.44999998807907104,1.3700000047683716
10.0,0.5,False,0.5,1.3700000047683716
12.0,0.5,False,0.5,1.3700000047683716
14.0,0.5,True,0.7799999713897705,2.1500000953674316
16.0,0.5,True,0.7699999809265137,2.9200000762939453
18.0,0.550000011920929,True,0.7900000214576721,3.7100000381469727
20.0,0.6499999761581421,True,0.7900000214576721,4.5
22.0,0.699999988079071,True,0.7799999713897705,5.28000020980835
24.0,0.75,True,0.7599999904632568,6.039999961853027
26.0,0.800000011920929,True,0.800000011920929,6.840000152587891
28.0,0.0,True,0.7900000214576721,7.630000114440918
30.0,0.8999999761581421,False,0.8700000047683716,7.630000114440918
32.0,0.8500000238418579,True,0.8899999856948853,8.520000457763672
34.0,0.8500000238418579,True,0.8799999952316284,9.399999618530273
36.0,0.8999999761581421,False,0.8999999761581421,9.399999618530273
38.0,0.8999999761581421,True,2.4700000286102295,11.869999885559082
40.0,0.9900000095367432,True,2.4800000190734863,14.350000381469727
42.0,1.5,True,2.4700000286102295,16.81999969482422
