Time(s),Current Torque Experienced,VAS Value of Torque Slider,Confirm Button Pressed
1.530400037765503,18.0,0.0,0.0
7.522799968719482,0.0,12.494894981384277,0.0
166.0155029296875,0.0,12.494894981384277,0.0
166.11459350585938,0.0,30.321212768554688,0.0
166.12339782714844,0.0,31.77642250061035,0.0
166.1302032470703,0.0,32.68592834472656,0.0
166.14329528808594,0.0,33.95923614501953,0.0
166.15609741210938,0.0,35.41444778442383,0.0
166.16929626464844,0.0,36.86965560913086,0.0
166.91380310058594,7.800000190734863,36.86965560913086,0.0
167.7158966064453,0.0,14.859610557556152,0.0
