Time(s),Current Torque Experienced,Torque Slider Adjusted,VAS Value of Torque Slider,Confirm Button Pressed
11.616417407989502,,,,True
Time(s),Current Torque Experienced,Torque Slider Adjusted,VAS Value of Torque Slider,Confirm Button Pressed
2.8932814598083496,,{'E'},4.4619122481063265,False
2.905296564102173,,{'E'},4.673252822638268,False
2.9176135063171387,,{'E'},5.095933971702152,False
2.929967164993286,,{'E'},5.729955695297981,False
2.942300319671631,,{'E'},7.420680291553516,False
2.954525947570801,,{'E'},10.16810776046876,False
2.9669547080993652,,{'E'},10.8021294840646,False
2.9791817665100098,,{'E'},14.817600400171493,False
2.9916772842407227,,{'E'},15.874303272831202,False
3.0037410259246826,,{'E'},18.41039016721451,False
3.0162651538848877,,{'E'},22.21452050878947,False
3.02847957611084,,{'E'},27.286694297556082,False
3.053173065185547,,{'E'},30.034121766471337,False
3.065378427505493,,{'E'},30.456802915535214,False
3.0776054859161377,,{'E'},31.09082463913105,False
5.5500898361206055,,{'D'},1.5031442046591366,False
5.623960018157959,,{'D'},2.348506502786904,False
5.636209726333618,,{'D'},3.4052093754466135,False
5.648533344268799,,{'D'},6.152636844361858,False
5.660895586013794,,{'D'},7.843361440617407,False
5.673285961151123,,{'D'},9.956767185936823,False
5.6855127811431885,,{'D'},11.8588323567243,False
5.6977832317352295,,{'D'},12.281513505788197,False
5.7101218700408936,,{'D'},12.915535229384012,False
5.722589015960693,,{'D'},13.338216378447896,False
5.73474907875061,,{'D'},13.549556952979838,False
6.7436683177948,,{'C'},4.4619122481063265,False
6.756051778793335,,{'C'},5.095933971702152,False
6.768342733383179,,{'C'},6.152636844361858,False
6.780569791793823,,{'C'},9.74542661140488,False
6.793007850646973,,{'C'},11.013470058596546,False
6.805260896682739,,{'C'},13.760897527511794,False
6.817658424377441,,{'C'},14.817600400171493,False
6.82991886138916,,{'C'},19.889774188938105,False
6.842121839523315,,{'C'},20.946477061597818,False
6.854528903961182,,{'C'},22.21452050878947,False
6.866914510726929,,{'C'},25.595969701300547,False
6.87907600402832,,{'C'},27.709375446619973,False
6.891506671905518,,{'C'},28.55473774474774,False
6.903671979904175,,{'C'},30.034121766471337,False
6.916033983230591,,{'C'},31.724846362726872,False
6.928390979766846,,{'C'},31.93618693725881,False
6.940641641616821,,{'C'},33.20423038445047,False
6.9530065059661865,,{'C'},33.62691153351435,False
6.965241193771362,,{'C'},34.049592682578236,False
6.9899187088012695,,{'C'},34.47227383164212,False
7.002192974090576,,{'C'},34.683614406174065,False
7.899975299835205,,{'B'},13.549556952979838,False
7.912265300750732,,{'B'},18.833071316278392,False
8.05988597869873,,{'B'},32.57020866085465,False
8.07206130027771,,{'B'},34.894954980706004,False
8.084318399429321,,{'B'},35.31763612976989,False
8.096620798110962,,{'B'},35.52897670430183,False
8.256514310836792,,{'B'},39.96712876947262,False
8.31791067123413,,{'B'},40.17846934400456,False
8.416284322738647,,{'B'},40.3898099185365,False
8.428548812866211,,{'B'},41.023831642132336,False
8.440839290618896,,{'B'},42.08053451479204,False
8.45313048362732,,{'B'},42.50321566385593,False
8.465436935424805,,{'B'},43.137237387451755,False
8.477747678756714,,{'B'},43.98259968557952,False
8.49010443687439,,{'B'},44.61662140917535,False
8.502309083938599,,{'B'},44.82796198370729,False
8.539190530776978,,{'B'},45.039302558239235,False
9.646275997161865,,{'A'},-1.0329426897241714,False
9.707847118377686,,{'A'},-1.244283264256115,False
9.720201969146729,,{'A'},-1.6669644133199988,False
9.732446670532227,,{'A'},-1.8783049878519407,False
9.744754076004028,,{'A'},-2.3009861369158244,False
9.75707221031189,,{'A'},-2.512326711447768,False
9.769423007965088,,{'A'},-2.723667285979708,False
10.919152736663818,,{'A'},-2.723667285979708,True
13.85450553894043,,{'B'},44.61662140917535,False
13.866697311401367,,{'B'},44.19394026011147,False
13.879125595092773,,{'B'},43.77125911104758,False
13.89130711555481,,{'B'},43.55991853651564,False
13.903767108917236,,{'B'},42.92589681291981,False
13.915928840637207,,{'B'},42.29187508932398,False
13.928260564804077,,{'B'},41.44651279119621,False
13.940522193908691,,{'B'},41.023831642132336,False
13.952894687652588,,{'B'},40.3898099185365,False
13.96515679359436,,{'B'},39.54444762040874,False
13.977474927902222,,{'B'},38.27640417321708,False
13.989786386489868,,{'B'},35.95165785336572,False
14.002050161361694,,{'B'},35.52897670430183,False
14.014341592788696,,{'B'},34.894954980706004,False
14.026649951934814,,{'B'},34.683614406174065,False
14.038941621780396,,{'B'},34.47227383164212,False
28.4569149017334,,{'B'},34.47227383164212,True
